"","motorists","cyclists","windowsize","showgame","count","pred"
"69",182,160,260,"F",140,140.71089521801
"70",173,191,280,"F",133,147.569347131216
"71",27,26,100,"F",27,20.2002656849839
"72",29,30,120,"F",24,22.4526775518277
"73",49,55,140,"F",42,40.120650194801
"74",56,70,160,"F",48,48.3219495639924
"75",80,76,180,"F",63,62.0185137388981
"76",90,95,200,"F",65,73.4113491464145
"77",118,117,220,"F",84,94.610620512112
"78",134,149,240,"F",95,113.547223486303
"79",181,168,260,"F",156,143.291417278875
"80",178,187,280,"F",142,148.714572543239
"81",32,24,100,"F",27,21.5873459708384
"82",48,39,120,"F",28,34.0656280294666
"83",50,42,140,"F",30,36.064811770222
"84",63,64,160,"F",43,49.8446544696488
"85",84,75,180,"F",61,63.4841729313636
"86",97,116,200,"F",84,83.8276348461595
"87",139,123,220,"F",112,106.671400278143
"88",139,164,240,"F",137,121.066538621288
"89",159,182,260,"F",126,137.356502935605
"90",176,196,280,"F",136,150.799834679976
"91",24,27,100,"F",23,19.1412465491893
"92",25,36,120,"F",19,22.2613532535381
"93",47,29,140,"F",15,29.5277539863613
"94",52,57,160,"F",34,42.2310042263414
"95",72,79,180,"F",65,59.230844410103
"96",108,92,200,"F",91,80.7228974386244
"97",121,128,220,"F",99,99.9157082990143
"98",138,158,240,"F",124,118.583916784555
"99",168,147,260,"F",106,129.222822558127
"100",224,217,280,"F",200,182.181160214092
